date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:00	21427/21427	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Feb%202020%2014:04:15%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/5623706401-1-1-16-1.jpg?v=1546788316587	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/5623706401-1-1-16-1dbb3.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:02	804916/804916	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202019%2015:39:26%20GMT	http://bizweb.dktcdn.net/100/343/333/products/6682729807-1-1-16.jpg?v=1546789166607	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/6682729807-1-1-1600dd.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:06	21427/21427	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Jan%202020%2011:15:23%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/5623706401-1-1-16.jpg?v=1546788319417	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/5623706401-1-1-1603aa.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:19	68691/68691	---MCZ	200	added ('OK')	text/html	etag:W/2ce3a38f4bc45b978b806d61daad900d	https://tmt-fashion-1.mysapo.net/floral-print-shirt-with-pockets	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/floral-print-shirt-with-pockets.html	(from https://tmt-fashion-1.mysapo.net/)
21:35:22	9191/9191	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Feb%202020%2006:14:37%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/5127894401-2-2-16.jpg?v=1546787882630	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/5127894401-2-2-168644.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:26	25671/25671	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Jan%202020%2001:49:39%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/5127894401-2-2-16.jpg?v=1546787882630	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/5127894401-2-2-168644.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:39	730016/730016	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202019%2015:36:30%20GMT	http://bizweb.dktcdn.net/100/343/333/products/6633730800-1-1-16.jpg?v=1546788989627	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/6633730800-1-1-162075.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:42	20108/20108	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202020%2003:26:18%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/5127894401-2-4-16.jpg?v=1546787886070	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/5127894401-2-4-162f24.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:35:55	43488/43488	---MCZ	200	added ('OK')	text/html	etag:W/aca47e439406801997fe02ab2bb100eb	https://tmt-fashion-1.mysapo.net/suit-nam-mau-xanh-mac-sao-cho-dep	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/suit-nam-mau-xanh-mac-sao-cho-dep.html	(from https://tmt-fashion-1.mysapo.net/)
21:36:01	36992/36992	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Jan%202020%2011:15:22%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/articles/blog1-master.jpg?v=1546326650043	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/articles/blog1-master2db1.jpg	(from https://tmt-fashion-1.mysapo.net/)
